Loc_Nm,Predicted_ModelAverage,Predicted_Connectivity,Connect500_ParkBuffer1000,Connect300v1_ParkBuffer1000,HU_Density_Km_Park1000,PCT_TCC_PARK_BUFFER1000,Prop_Water_ParkBuffer1000,Prop_BarrenLand_ParkBuffer1000,Prop_Water_ParkBuffer500,Prop_BarrenLand_ParkBuffer500,Prop_Water_ParkBuffer100,Prop_BarrenLand_ParkBuffer100,PCT_Impervious_Park1000,PCT_Impervious_Park500,PCT_Impervious_Park100,Road_Density_km_ParkBuffer500
Alley Pond Park,0.395233464,0.044277852,18.8939568,12.80399833,1756.779112,27.89178781,0.041874593,0,0.072030723,0,0.160496516,0,51.19358863,46.42066317,31.11977352,0
Flushing Meadows Corona Park,0.002043356,0.018125918,6.54094949,4.010678902,409.3059862,8.788851738,0.03929831,0.000366418,0.065821354,0.000565337,0.134529915,0.001196581,70.6502542,65.87756421,54.95538462,8.00191E-06
Forest Park,0.00251071,0.018125918,16.8866449,8.121475807,1163.681846,20.63393882,0.001485583,6.75265E-05,0,0.000127845,0,0.000297265,59.97643325,50.24303247,25.49108205,2.13158E-06
Prospect Park,0.002725046,0.020098495,11.1571776,8.657407468,59.90686678,18.56891799,0.01268091,0.003721571,0.025059499,0.007419852,0.057731263,0.017893315,63.55796003,55.15805684,26.8298447,0.000116742
Cunningham Park,0.005686584,0.028520428,15.3074791,10.4823385,10292.26057,26.9260863,0.000455789,0,0.000875785,0,0.002062564,0,53.69097539,45.70456868,28.29872809,0
Highland Park,0.006867234,0.048905413,33.0606742,20.61023464,4915.966627,31.42434857,0.008799658,0.000598035,0.022582117,0.001596715,0.096774194,0.00684262,41.67757369,32.77531934,21.83479961,3.83111E-05
Kissena Park,#N/A,#N/A,9.1968401,6.999765589,726.7885296,14.51101928,0.00614537,0,0.013033708,0,0.035066505,0,62.62619199,52.06179775,30.3688029,0
Clove Lakes Park,0.011074175,0.024016549,9.65883669,9.584126576,1637.990582,25.67778566,0.008922235,0.002027781,0.015101773,0.000218866,0.045634921,0,51.0341681,46.90763843,27.1005291,4.28862E-06
Willowbrook Park,#N/A,#N/A,25.0789599,24.201556,2476.702564,24.97364414,0.093826871,0,0.052687039,0,0.147727273,0,50.59540822,49.05005269,24.33279221,0
Morley County Park,0.949017069,0.866874968,57.909263,37.97178896,233.3189819,43.4672086,0,0,0,0,0,0,36.53678699,31.48749583,25.96062053,0
